system.index,AREA_KM2,CD_MUN,CD_UF,NM_MUN,NM_REGIAO,NM_UF,SIGLA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Bioma
000100000000000004ab,1457.811,1100288,11,Rolim de Moura,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004ac,1197.796,1100296,11,Santa Luzia D'Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004ad,11699.15,1100304,11,Vilhena,Norte,Rondônia,RO,3.297080973,5.28435829,5.207371963,5.42704078,5.719588477,6.251650027,6.363535662,6.376537797,6.421703295,6.376537797,6.462420505,6.551382156,6.868224133,7.117660317,7.170010855,7.531677327,7.531677327,7.46461375,7.453322341,7.414657261,7.364359653,7.340066164,7.340066164,7.340066164,7.75682034,7.609005946,7.567262233,7.627483148,7.722262195,7.722262195,7.740738734,7.754767767,7.754767767,7.836202185,7.76674348,7.853310957,8.109933838,Amazônia
000100000000000004ae,7460.117,1100320,11,São Miguel do Guaporé,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004af,10070.49,1100338,11,Nova Mamoré,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004b0,3029.189,1100346,11,Alvorada D'Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004b1,3958.273,1100379,11,Alto Alegre dos Parecis,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
0000000000000000047d,2651.822,1100403,11,Alto Paraíso,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004b2,3265.809,1100452,11,Buritis,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
000100000000000004b3,843.446,1100502,11,Novo Horizonte do Oeste,Norte,Rondônia,RO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Amazônia
